Characteristic,Year,Demographic Category,Demographic Group,Overall Sample Size,Overall Population Size,Sample Cases with Characteristic,Estimated Population with Characteristic,Percentage with Characteristic,Lower Confidence Level,Upper Confidence Level
Has Health Care Coverage,2015,DSRIP Region,Mohawk Valley,301,"186,819",283,"174,863",93.60,89.9,97.3
Does Not Have Health Care Coverage,2015,DSRIP Region,Long Island,"1,474","2,235,041",97,"217,785",9.70,7.5,12
Does Not Have Health Care Coverage,2012,Age Group,25-44,"1,552","5,184,563",286,"1,136,011",21.90,18.9,24.9
Does Not Have Health Care Coverage,2012,Limitation Status,Limitation - Yes,"1,445","3,151,161",114,"346,285",11.00,8.3,13.7
Does Not Have Health Care Coverage,2017,Disability Status,Disability - Yes,"2,973","3,415,934",223,"319,579",9.40,7.9,10.8
Has Health Care Coverage,2016,Sex,Female,"19,074","8,118,412","18,206","7,494,857",92.30,91.4,93.2
Does Not Have Health Care Coverage,2017,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,818,"1,705,765",85,"191,452",11.20,8.3,14.1
Does Not Have Health Care Coverage,2014,Education Level,Less than H.S.,599,"2,314,056",132,"644,715",27.90,23.4,32.3
Has Health Care Coverage,2012,Education Level,Less than H.S.,516,"2,302,089",384,"1,549,353",67.30,61.5,73.1
Has Health Care Coverage,2017,Race/Ethnicity,Hispanic,"1,758","2,690,649","1,365","2,053,763",76.30,73.8,78.8
Does Not Have Health Care Coverage,2016,Age Group,18-24,"1,803","1,855,701",216,"218,026",11.70,8.9,14.6
